regions,FOI_med,R0_med
AGO.1_1,0.000147507,0.886469576
AGO.10_1,5.92E-05,0.666983377
AGO.11_1,0.000118174,0.866348899
AGO.12_1,0.000206389,0.832597786
AGO.13_1,0.00011809,0.766459161
AGO.14_1,0.00014748,0.755569004
AGO.15_1,0.00011808,0.69207856
AGO.16_1,8.87E-05,0.73202042
AGO.17_1,0.000147495,0.796907337
AGO.18_1,0.000176905,0.914122765
AGO.2_1,0.000118195,0.749762131
AGO.3_1,0.0001181,0.679843436
AGO.4_1,8.86E-05,0.856221079
AGO.5_1,8.87E-05,0.694945603
AGO.6_1,0.000176905,0.816442036
AGO.7_1,0.000147477,0.745688962
AGO.8_1,5.93E-05,0.722113131
AGO.9_1,5.92E-05,0.649141462
BDI.1_1,0.000147421,0.83147099
BDI.10_1,8.86E-05,0.73811889
BDI.11_1,0.000147421,0.766184417
BDI.12_1,0.000117963,0.659287264
BDI.13_1,8.86E-05,0.710273736
BDI.14_1,8.85E-05,0.608187102
BDI.15_1,8.86E-05,0.710595253
BDI.16_1,8.86E-05,0.684235485
BDI.17_1,5.91E-05,0.689133377
BDI.2_1,0.000176905,0.915070435
BDI.3_1,0.000176905,0.78358005
BDI.4_1,0.00011797,0.700078966
BDI.5_1,5.91E-05,0.691369588
BDI.6_1,0.000206389,0.799042871
BDI.7_1,8.86E-05,0.646081507
BDI.8_1,8.86E-05,0.683355057
BDI.9_1,0.00011797,0.690686301
BEN.1_1,8.87E-05,0.978516175
BEN.10_1,0.000206389,1.034409909
BEN.11_1,0.000206389,1.045909418
BEN.12_1,0.000206389,1.055675856
BEN.2_1,8.86E-05,0.989215403
BEN.3_1,0.000206389,1.030790483
BEN.4_1,0.000147518,0.981425263
BEN.5_1,0.000176905,1.035814871
BEN.6_1,0.000176905,1.005372498
BEN.7_1,0.000206389,1.042899613
BEN.8_1,0.000176905,1.002009568
BEN.9_1,0.000176905,1.026612084
BFA.1_1,8.88E-05,0.982770475
BFA.10_1,8.87E-05,0.985976626
BFA.11_1,0.000118173,0.997922288
BFA.12_1,8.87E-05,0.977803435
BFA.13_1,0.000118212,0.99925003
BFA.2_1,8.87E-05,0.961010398
BFA.3_1,0.000118174,1.01866146
BFA.4_1,0.000118174,0.992289642
BFA.5_1,8.87E-05,0.973141757
BFA.6_1,8.87E-05,0.983671944
BFA.7_1,8.87E-05,0.973241807
BFA.8_1,8.88E-05,0.992637709
BFA.9_1,8.87E-05,0.944031299
CAF.1_1,0.000176905,0.971129672
CAF.10_1,0.000118014,0.838003925
CAF.11_1,0.000147445,0.888690216
CAF.12_1,0.000206389,0.94899411
CAF.13_1,0.000147463,0.875984801
CAF.14_1,0.00011801,0.880397675
CAF.15_1,0.000118048,0.898928846
CAF.16_1,0.000235873,0.931157576
CAF.17_1,8.87E-05,0.904266323
CAF.2_1,0.000265357,0.995934824
CAF.3_1,0.000206389,0.915482938
CAF.4_1,0.000176905,0.927115845
CAF.5_1,0.000147432,0.881181375
CAF.6_1,0.000176905,0.905207912
CAF.7_1,0.000265357,0.940012471
CAF.8_1,0.000265357,0.947642909
CAF.9_1,0.000206389,0.924314596
CIV.1_1,0.000176905,0.981090712
CIV.10_1,0.000118179,0.954974991
CIV.11_1,0.000206389,1.020826684
CIV.12_1,0.000118089,0.928604753
CIV.13_1,0.000235873,1.00472607
CIV.14_1,0.000235873,1.028589026
CIV.2_1,0.000265357,1.013023296
CIV.3_1,0.000235873,1.029042833
CIV.4_1,8.86E-05,0.895143925
CIV.5_1,0.000206389,0.998864045
CIV.6_1,0.000324325,1.07961457
CIV.7_1,0.000235873,1.023522153
CIV.8_1,0.000324325,1.007145279
CIV.9_1,0.000235873,1.001018629
CMR.1_1,0.000206389,0.870744051
CMR.10_1,0.000294841,0.952052271
CMR.2_1,0.000383293,1.02461948
CMR.3_1,0.000294841,0.941767674
CMR.4_1,8.87E-05,0.980322205
CMR.5_1,0.000383293,1.058639485
CMR.6_1,0.000206389,0.875831963
CMR.7_1,0.000118108,0.932610389
CMR.8_1,0.000176905,0.865438229
CMR.9_1,0.000235873,0.965962942
COD.1_1,0.000383293,1.026281385
COD.10_1,0.000176905,0.868144609
COD.11_1,0.000206389,0.884773586
COD.12_1,0.000206389,0.82604338
COD.13_1,0.000206389,0.89529549
COD.14_1,0.000118109,0.860050648
COD.15_1,0.000147491,0.784252377
COD.16_1,0.000353809,1.005626622
COD.17_1,0.000383293,0.992353118
COD.18_1,0.000442262,1.064636731
COD.19_1,0.000353809,0.884485975
COD.2_1,0.000412778,1.057642469
COD.20_1,0.000294841,0.969496834
COD.21_1,0.000324325,0.976839721
COD.22_1,0.000324325,0.855764369
COD.23_1,0.000324325,1.005077215
COD.24_1,0.000265357,0.886983586
COD.25_1,0.000589682,1.113179203
COD.26_1,0.000176905,0.925950216
COD.3_1,8.86E-05,0.711474686
COD.4_1,0.000147509,0.835076741
COD.5_1,0.000353809,1.007399994
COD.6_1,0.000412778,0.984178133
COD.7_1,0.00014752,0.865938699
COD.8_1,0.000118135,0.884396559
COD.9_1,0.000324325,0.960662311
COG.1_1,5.92E-05,0.842965932
COG.10_1,5.91E-05,0.852866111
COG.11_1,8.86E-05,0.837755794
COG.12_1,0.000294841,0.968890344
COG.2_1,8.86E-05,0.882515563
COG.3_1,0.000206389,0.916823872
COG.4_1,0.000235873,0.967991107
COG.5_1,0.000118085,0.881313005
COG.6_1,0.000176905,0.856732814
COG.7_1,0.000265357,0.969608131
COG.8_1,0.000147495,0.869306751
COG.9_1,0.000176905,0.906670356
DJI.1_1,7.95E-08,0.954496218
DJI.2_1,1.58E-07,1.00269385
DJI.3_1,7.99E-08,1.035317351
DJI.4_1,7.95E-08,1.005582138
DJI.5_1,7.96E-08,0.941127959
ERI.1_1,5.92E-05,0.588756778
ERI.2_1,5.91E-05,0.931241
ERI.3_1,2.96E-05,0.985885547
ERI.4_1,5.92E-05,0.937354565
ERI.5_1,5.92E-05,0.711449199
ERI.6_1,5.91E-05,0.906867263
ETH.1_1,0.000118011,0.609373655
ETH.10_1,0.000235873,0.848328982
ETH.11_1,0.000147493,0.831410974
ETH.2_1,8.86E-05,0.978869416
ETH.3_1,0.00017694,0.742179587
ETH.4_1,0.000118096,0.903413722
ETH.5_1,8.87E-05,0.784706987
ETH.6_1,0.000176905,0.996240669
ETH.7_1,8.87E-05,0.70773418
ETH.8_1,0.000235873,0.785619533
ETH.9_1,0.000147453,0.928895637
GAB.1_1,0.000235873,0.96065337
GAB.2_1,0.000206389,0.906548862
GAB.3_1,0.000235873,0.960248408
GAB.4_1,0.000206389,0.91244375
GAB.5_1,0.000206389,0.922571168
GAB.6_1,0.000294841,0.951937491
GAB.7_1,0.000265357,0.944883996
GAB.8_1,0.000206389,0.948754877
GAB.9_1,0.000265357,0.92893296
GHA.1_1,0.000265357,1.018667978
GHA.10_1,0.000206389,1.001803258
GHA.2_1,0.000294841,1.065502899
GHA.3_1,0.000206389,0.991654981
GHA.4_1,0.000324325,1.043333788
GHA.5_1,0.000235873,1.021727394
GHA.6_1,0.000147594,1.022475656
GHA.7_1,0.000118121,1.020691341
GHA.8_1,8.88E-05,0.990260109
GHA.9_1,0.000206389,1.028307247
GIN.1_1,0.000235873,1.029973691
GIN.2_1,0.000176905,1.03565462
GIN.3_1,0.000206389,0.922644951
GIN.4_1,0.000118123,0.91160886
GIN.5_1,0.000235873,1.035753568
GIN.6_1,0.000118101,0.892075981
GIN.7_1,0.000176905,0.899569677
GIN.8_1,0.000294841,0.94794932
GMB.1_1,0.000147421,0.911495591
GMB.2_1,0.000118049,0.956710645
GMB.3_1,0.000117963,0.967525897
GMB.4_1,0.000117963,0.946855621
GMB.5_1,8.87E-05,0.932781199
GMB.6_1,0.000147421,0.918319288
GNB.1_1,0.000235873,0.990728972
GNB.2_1,0.000206389,0.960593145
GNB.3_1,0.000206389,0.96196343
GNB.4_1,5.91E-05,0.893375262
GNB.5_1,0.000206389,0.961927879
GNB.6_1,0.000176905,0.964101748
GNB.7_1,0.000206389,0.967573718
GNB.8_1,0.000235873,0.984643592
GNB.9_1,0.000235873,0.997813754
GNQ.2_1,8.86E-05,0.792467783
GNQ.3_1,0.000147421,0.79063297
GNQ.4_1,0.000235873,0.868894221
GNQ.5_1,0.000235873,0.89669273
GNQ.6_1,0.000235873,0.938286304
GNQ.7_1,0.000235873,0.882371962
KEN.1_1,0.000147421,0.792398484
KEN.10_1,0.000176924,0.808665909
KEN.11_1,0.000176905,0.795960589
KEN.12_1,0.000235873,0.725591338
KEN.13_1,0.000147421,0.668129268
KEN.14_1,0.000118109,0.926069448
KEN.15_1,0.000147421,0.708610779
KEN.16_1,0.000176905,0.734415074
KEN.17_1,0.000206389,0.865080919
KEN.18_1,8.87E-05,0.865054291
KEN.19_1,0.000118203,0.90058639
KEN.2_1,0.000147421,0.669945746
KEN.20_1,0.000176905,0.668535519
KEN.21_1,8.86E-05,0.942879955
KEN.22_1,0.000118174,0.754557153
KEN.23_1,0.000118173,0.813951885
KEN.24_1,5.92E-05,0.961257658
KEN.25_1,8.87E-05,0.947594134
KEN.26_1,0.00011817,0.727317894
KEN.27_1,0.000118035,0.779285425
KEN.28_1,0.000117954,0.957361542
KEN.29_1,0.000147421,0.689332338
KEN.3_1,0.000206389,0.739427543
KEN.30_1,0.000147464,0.718659482
KEN.31_1,0.000206389,0.653308714
KEN.32_1,0.000176905,0.705742231
KEN.33_1,0.000147455,0.66624818
KEN.34_1,0.000176905,0.710902117
KEN.35_1,0.000147421,0.526845703
KEN.36_1,0.000176905,0.578279619
KEN.37_1,8.87E-05,0.782299718
KEN.38_1,0.00011794,0.817326687
KEN.39_1,8.87E-05,0.851824605
KEN.4_1,0.000176905,0.847224303
KEN.40_1,0.000118174,0.962296107
KEN.41_1,0.000118088,0.796233793
KEN.42_1,0.000235873,0.72101048
KEN.43_1,0.000118107,0.979502414
KEN.44_1,0.000176905,0.664237361
KEN.45_1,0.000176905,0.778465346
KEN.46_1,8.87E-05,0.997683644
KEN.47_1,0.000118144,0.771116763
KEN.5_1,0.000176905,0.685047232
KEN.6_1,0.000147421,0.781974594
KEN.7_1,8.87E-05,0.985270563
KEN.8_1,0.000117967,0.804873043
KEN.9_1,0.000118046,0.941749069
LBR.1_1,0.000206389,0.973901239
LBR.10_1,0.000206389,0.952180068
LBR.11_1,0.000206389,0.972148336
LBR.12_1,0.000235873,0.979655425
LBR.13_1,0.000206389,0.973936247
LBR.14_1,0.000206389,0.977886137
LBR.15_1,0.000206389,0.97483527
LBR.2_1,0.000235873,0.982881062
LBR.3_1,0.000235873,1.012568625
LBR.4_1,0.000206389,0.987595019
LBR.5_1,0.000235873,0.983670775
LBR.6_1,0.000235873,1.000136437
LBR.7_1,0.000206389,0.945582663
LBR.8_1,0.000265357,0.968893963
LBR.9_1,0.000206389,0.976114397
MLI.1_1,8.86E-05,0.96673227
MLI.2_1,5.91E-05,0.96691524
MLI.3_1,0.000118216,0.979693892
MLI.4_1,2.97E-05,0.932185602
MLI.5_1,8.88E-05,0.931583122
MLI.6_1,8.87E-05,0.964939599
MLI.7_1,8.87E-05,0.925993486
MLI.8_1,8.87E-05,0.919534022
MLI.9_1,2.97E-05,0.950062908
MRT.1_1,2.48E-08,0.937753048
MRT.10_1,2.38E-08,0.85152507
MRT.11_1,2.97E-05,0.955969829
MRT.12_1,2.37E-08,0.914998388
MRT.13_1,5.91E-05,0.943270549
MRT.2_1,5.92E-05,0.96589007
MRT.3_1,8.86E-05,1.002478399
MRT.4_1,2.22E-08,0.793306976
MRT.5_1,8.87E-05,1.010652068
MRT.6_1,8.87E-05,0.994889073
MRT.7_1,2.98E-05,0.975195906
MRT.8_1,2.98E-05,0.957556379
MRT.9_1,2.37E-08,0.871673103
NER.1_1,2.97E-05,0.859333143
NER.2_1,8.86E-05,0.920843902
NER.3_1,8.87E-05,1.005851529
NER.4_1,8.86E-05,0.943700068
NER.5_1,8.87E-05,1.000363366
NER.6_1,8.87E-05,0.97040398
NER.7_1,8.87E-05,0.994484904
NER.8_1,8.86E-05,0.935573855
NGA.1_1,0.000118034,0.966628673
NGA.10_1,0.000118084,0.977156562
NGA.11_1,0.000176905,1.028322899
NGA.12_1,0.000206389,0.997635175
NGA.13_1,0.000176905,0.94333481
NGA.14_1,0.000206389,1.00394456
NGA.15_1,0.000147421,0.976109773
NGA.16_1,8.87E-05,0.895403
NGA.17_1,0.000118114,0.967924882
NGA.18_1,8.86E-05,0.927603859
NGA.19_1,0.000118166,0.896176825
NGA.2_1,0.000118073,0.93561585
NGA.20_1,8.86E-05,0.901400168
NGA.21_1,8.86E-05,0.89657481
NGA.22_1,8.87E-05,0.961244332
NGA.23_1,0.000147525,0.967565858
NGA.24_1,0.0001475,0.976499945
NGA.25_1,8.86E-05,0.97183288
NGA.26_1,0.000147625,0.980874366
NGA.27_1,0.000147547,0.982961209
NGA.28_1,0.000235873,1.047101849
NGA.29_1,0.000206389,0.998370377
NGA.3_1,0.000118021,0.96369913
NGA.30_1,0.000147421,0.975048093
NGA.31_1,0.000176905,0.995787913
NGA.32_1,0.000118119,0.916108693
NGA.33_1,0.000147546,0.980834896
NGA.34_1,8.87E-05,0.980038828
NGA.35_1,0.000176937,0.962660023
NGA.36_1,8.88E-05,0.893006843
NGA.37_1,8.87E-05,0.924901169
NGA.4_1,0.000176905,1.016692021
NGA.5_1,8.87E-05,0.895995002
NGA.6_1,0.000206389,1.007366727
NGA.7_1,0.000118087,0.967204357
NGA.8_1,8.87E-05,0.909197239
NGA.9_1,0.000235873,1.023934904
RWA.1_1,0.000176905,0.671647732
RWA.2_1,0.000206389,0.736763891
RWA.3_1,0.000118174,0.748951578
RWA.4_1,0.000235873,0.711164773
RWA.5_1,0.00011797,0.741827967
SDN.1_1,8.87E-05,0.981054342
SDN.10_1,2.63E-08,0.852752073
SDN.11_1,4.13E-08,0.885837819
SDN.12_1,2.97E-05,0.941422551
SDN.13_1,8.87E-05,0.997499892
SDN.14_1,8.87E-05,0.899748597
SDN.15_1,8.87E-05,0.970951849
SDN.16_1,8.87E-05,0.852169055
SDN.17_1,8.88E-05,0.948201119
SDN.18_1,8.87E-05,0.985402601
SDN.2_1,8.87E-05,1.008996978
SDN.3_1,8.87E-05,0.995680582
SDN.4_1,8.87E-05,0.808785738
SDN.5_1,8.88E-05,0.953057264
SDN.6_1,2.97E-05,0.97239849
SDN.7_1,5.91E-05,0.964942754
SDN.8_1,5.92E-05,0.840819233
SDN.9_1,5.92E-05,0.919737049
SEN.1_1,5.92E-05,0.849575403
SEN.10_1,8.87E-05,0.93926554
SEN.11_1,0.000176905,0.964121743
SEN.12_1,8.87E-05,0.983648406
SEN.13_1,5.93E-05,0.853635286
SEN.14_1,0.000206389,0.954210153
SEN.2_1,5.92E-05,0.908932689
SEN.3_1,8.87E-05,0.919837788
SEN.4_1,8.87E-05,0.953614109
SEN.5_1,8.86E-05,0.953482744
SEN.6_1,8.87E-05,0.996296025
SEN.7_1,0.000118173,0.943255818
SEN.8_1,8.87E-05,0.922901921
SEN.9_1,8.88E-05,0.991830752
SLE.1_1,0.000265357,0.986902904
SLE.2_1,0.000294841,1.027363043
SLE.3_1,0.000235873,1.020836662
SLE.4_1,0.000206389,0.968946448
SOM.1_1,2.97E-05,0.936773767
SOM.10_1,5.93E-05,0.992699814
SOM.11_1,4.21E-08,0.909285448
SOM.12_1,3.05E-08,0.841949051
SOM.13_1,2.80E-08,0.742954072
SOM.14_1,5.92E-05,0.984377825
SOM.15_1,8.87E-05,0.973945883
SOM.16_1,2.78E-08,0.783683468
SOM.17_1,2.97E-05,0.77117752
SOM.18_1,2.97E-05,0.833792827
SOM.2_1,5.92E-05,0.971134706
SOM.3_1,2.98E-05,0.955687834
SOM.4_1,2.88E-08,0.88275533
SOM.5_1,5.92E-05,0.993562935
SOM.6_1,4.64E-08,0.947049576
SOM.7_1,0.000118174,1.064113332
SOM.8_1,5.92E-05,1.001304473
SOM.9_1,8.87E-05,1.006066267
SSD.1_1,0.000176905,0.998181497
SSD.10_1,0.000176905,0.965789534
SSD.2_1,0.000235873,1.028357582
SSD.3_1,8.87E-05,0.991847188
SSD.4_1,0.000118075,0.976456369
SSD.5_1,8.87E-05,0.956747872
SSD.6_1,8.87E-05,0.976488551
SSD.7_1,8.87E-05,1.014155967
SSD.8_1,0.000118213,0.992124418
SSD.9_1,0.000147473,0.937506556
TCD.1_1,8.86E-05,0.997258001
TCD.10_1,8.87E-05,0.934684446
TCD.11_1,0.000118045,0.957934567
TCD.12_1,0.000118047,0.949500065
TCD.13_1,0.000118047,0.959823361
TCD.14_1,8.87E-05,0.989650591
TCD.15_1,0.00011807,0.993336933
TCD.16_1,0.0001182,0.97828789
TCD.17_1,8.87E-05,0.964751396
TCD.18_1,8.87E-05,0.95676799
TCD.19_1,8.87E-05,0.938393348
TCD.2_1,8.87E-05,1.011246734
TCD.20_1,0.000118174,0.988116291
TCD.21_1,2.96E-05,0.760954703
TCD.22_1,8.87E-05,0.967504507
TCD.23_1,5.92E-05,0.927878522
TCD.3_1,2.97E-05,0.887884167
TCD.4_1,8.86E-05,0.985829318
TCD.5_1,2.40E-08,0.814479155
TCD.6_1,2.57E-08,0.867921801
TCD.7_1,8.87E-05,0.99474081
TCD.8_1,8.87E-05,0.994852652
TCD.9_1,5.91E-05,0.948989049
TGO.1_1,0.000147474,0.978453682
TGO.2_1,0.000147558,1.005400745
TGO.3_1,0.000147421,0.99891326
TGO.4_1,0.000176905,1.001162908
TGO.5_1,8.87E-05,1.006337283
TZA.1_1,0.000176944,0.756229581
TZA.10_1,0.000118098,0.860893307
TZA.11_1,8.88E-05,0.728251203
TZA.12_1,0.000147474,0.79421009
TZA.13_1,0.000118089,0.77142508
TZA.14_1,0.000118092,0.851331361
TZA.15_1,8.86E-05,0.87879253
TZA.16_1,8.86E-05,0.790503312
TZA.17_1,0.000118047,0.648549383
TZA.18_1,2.96E-05,0.878443255
TZA.19_1,2.96E-05,0.891070293
TZA.2_1,0.000118172,0.906713943
TZA.20_1,0.000118108,0.911896852
TZA.21_1,8.86E-05,0.805963262
TZA.22_1,8.86E-05,0.798058132
TZA.23_1,8.87E-05,0.825785366
TZA.24_1,0.000118174,0.784118042
TZA.25_1,8.87E-05,0.757400229
TZA.26_1,8.87E-05,0.820120724
TZA.27_1,0.000176905,0.868680471
TZA.28_1,8.85E-05,0.970066735
TZA.29_1,0.000117936,0.985500405
TZA.3_1,8.87E-05,0.765539156
TZA.30_1,8.86E-05,0.953714743
TZA.4_1,8.87E-05,0.782709172
TZA.5_1,0.000147454,0.756994919
TZA.6_1,0.000118128,0.754726636
TZA.7_1,0.000118092,0.837389267
TZA.8_1,0.000118085,0.786951043
TZA.9_1,0.000147527,0.787609557
UGA.1_1,0.000117998,0.935378028
UGA.10_1,0.000117961,0.84746639
UGA.11_1,0.000117947,0.811084676
UGA.12_1,0.000176905,0.630654067
UGA.13_1,0.000324325,0.824507209
UGA.14_1,8.86E-05,0.888451766
UGA.15_1,5.91E-05,0.748543666
UGA.16_1,0.000117962,0.795499255
UGA.17_1,8.86E-05,0.853201743
UGA.18_1,0.000265357,0.853835652
UGA.19_1,0.000206389,0.77855595
UGA.2_1,8.86E-05,0.868044729
UGA.20_1,0.000235873,0.736204127
UGA.21_1,0.000294841,0.828738421
UGA.22_1,0.000147463,0.901965575
UGA.23_1,8.86E-05,0.825664838
UGA.24_1,0.000176905,0.850729952
UGA.25_1,0.000176905,0.860729212
UGA.26_1,0.000235873,0.671850188
UGA.27_1,0.000147427,0.917135062
UGA.28_1,0.00017693,0.871062023
UGA.29_1,0.000117971,0.879791675
UGA.3_1,0.000176905,0.912279325
UGA.30_1,0.000206389,0.822171837
UGA.31_1,0.000117976,0.93266135
UGA.32_1,8.86E-05,0.780621062
UGA.33_1,8.86E-05,0.87567368
UGA.34_1,0.00011797,0.829530246
UGA.35_1,0.000117976,0.771144729
UGA.36_1,0.000147467,0.891490945
UGA.37_1,1.61E-08,0.758280115
UGA.38_1,0.000206389,0.808740451
UGA.39_1,0.000147453,0.75434203
UGA.4_1,0.000117936,0.831883602
UGA.40_1,0.000118174,0.852805098
UGA.41_1,0.000118048,0.96806044
UGA.42_1,0.00011806,0.785677041
UGA.43_1,0.000147423,0.811915268
UGA.44_1,0.000118004,0.792866433
UGA.45_1,0.000147453,0.833304601
UGA.46_1,0.000118027,0.852933685
UGA.47_1,0.000265357,0.898010617
UGA.48_1,0.000147421,0.722184096
UGA.49_1,0.000118059,0.894165093
UGA.5_1,0.000294841,0.909788448
UGA.50_1,0.000147421,0.889412799
UGA.51_1,0.000206389,0.775439475
UGA.52_1,0.000176905,0.772142413
UGA.53_1,0.000117963,0.778741676
UGA.54_1,0.000206389,0.799216732
UGA.55_1,8.86E-05,0.89362223
UGA.56_1,0.000176905,0.878870493
UGA.57_1,0.000117979,0.792725167
UGA.58_1,0.000147421,0.943164273
UGA.6_1,0.000147463,0.765791085
UGA.7_1,0.000176905,0.851991618
UGA.8_1,0.000118051,0.894653991
UGA.9_1,0.000176905,0.881585576
YEM.1_1,7.98E-08,1.762959026
YEM.10_1,7.93E-08,0.242743896
YEM.11_1,7.94E-08,0.176303693
YEM.12_1,3.22E-10,1.015176689
YEM.13_1,7.99E-08,1.592617458
YEM.14_1,7.99E-08,0.385891738
YEM.15_1,7.99E-08,1.628863787
YEM.16_1,7.95E-08,0.688046759
YEM.17_1,8.01E-08,0.993587161
YEM.18_1,7.93E-08,0.458889859
YEM.19_1,7.92E-08,0.0175949
YEM.2_1,7.96E-08,1.172126297
YEM.20_1,7.97E-08,0.799134272
YEM.21_1,8.02E-08,1.588198748
YEM.3_1,7.90E-08,0.017263644
YEM.4_1,7.96E-08,0.465176744
YEM.5_1,8.03E-08,1.77859477
YEM.6_1,7.97E-08,0.844519225
YEM.7_1,3.03E-10,1.100029203
YEM.8_1,7.98E-08,0.848305128
YEM.9_1,7.90E-08,0.017278551
ZMB.1_1,8.86E-05,0.708124317
ZMB.10_1,5.92E-05,0.721332296
ZMB.2_1,8.86E-05,0.675017116
ZMB.3_1,8.86E-05,0.787072699
ZMB.4_1,8.86E-05,0.725453464
ZMB.5_1,0.000118075,0.782627857
ZMB.6_1,0.000147489,0.778892582
ZMB.7_1,0.000118109,0.701810432
ZMB.8_1,0.000118085,0.755705277
ZMB.9_1,0.000118174,0.732523914
